ensembl_gene_id	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06
ENSG00000007908	1	1	0	0	0	0
ENSG00000007923	1145	1402	983	1873	1052	1638
ENSG00000007933	0	0	0	0	0	0
ENSG00000007944	12	8	4	13	9	8
ENSG00000007952	1	1	0	0	0	0
ENSG00000007968	82	91	131	290	142	300
ENSG00000008018	2403	2898	1761	2945	2259	3491
ENSG00000008056	0	3	0	0	2	0
ENSG00000008083	327	406	237	421	258	326
ENSG00000008086	157	166	164	240	186	163
ENSG00000008118	9	4	2	12	14	15
ENSG00000008128	37	31	40	94	40	40
ENSG00000008130	938	1220	794	1917	795	1566
ENSG00000008196	3	2	1	14	9	7
ENSG00000008197	0	0	0	0	0	0
ENSG00000008226	0	0	0	3	0	1
ENSG00000008256	762	767	822	1787	1029	1246
ENSG00000008277	17	25	33	29	11	18
ENSG00000008282	739	679	1074	1360	1038	1003
ENSG00000008283	211	339	192	281	149	217
ENSG00000008294	721	709	1078	1621	1273	1148
ENSG00000008300	67	114	60	63	38	36
ENSG00000008311	87	72	212	294	218	164
ENSG00000008323	0	0	0	1	0	0
ENSG00000008324	219	198	140	241	156	244
ENSG00000008382	112	208	38	166	102	201
ENSG00000008394	510	602	790	776	689	687
ENSG00000008405	212	205	261	410	257	279
ENSG00000008438	0	0	0	0	0	0
ENSG00000008441	1813	2379	1685	3985	2398	2998
ENSG00000008513	787	963	837	917	536	760
ENSG00000008516	1	0	0	1	0	1
ENSG00000008517	56	83	46	9	19	8
ENSG00000008710	1383	1916	1385	3596	1487	2027
ENSG00000008735	0	2	0	0	0	0
ENSG00000008838	1071	1321	822	1716	884	1258
ENSG00000008853	425	587	404	1024	536	742
ENSG00000008869	210	227	265	191	143	127
ENSG00000008952	1789	1671	2176	1778	1638	1428
ENSG00000008988	7358	9862	4555	7117	4821	10558
ENSG00000009307	6729	6982	6108	8136	6395	7297
ENSG00000009335	1705	1796	1918	3159	1869	2348
ENSG00000009413	498	326	720	666	525	490
ENSG00000009694	1	0	0	0	0	0
ENSG00000009709	0	0	0	0	0	0
ENSG00000009724	1	4	0	1	2	4
ENSG00000009765	0	2	0	0	0	0
ENSG00000009780	85	72	173	135	147	127
ENSG00000009790	0	0	0	0	0	0
ENSG00000009830	659	914	605	1292	802	1053
ENSG00000009844	754	646	968	1146	985	971
ENSG00000009950	0	0	0	2	0	0
ENSG00000009954	1944	1941	2537	3726	2594	2873
ENSG00000010017	614	622	748	1094	907	993
ENSG00000010030	6	6	4	9	8	12
ENSG00000010072	153	134	163	250	181	179
ENSG00000010165	711	925	726	1180	711	1010
ENSG00000010219	414	583	195	465	314	539
ENSG00000010244	1335	1249	1429	1978	1151	1518
ENSG00000010256	4687	7118	2731	6535	3519	6289
ENSG00000010270	426	451	555	649	477	648
ENSG00000010278	1188	1327	1040	2236	1298	2024
ENSG00000010282	0	0	0	0	0	0
ENSG00000010292	1737	2165	2112	2851	1772	2474
ENSG00000010295	310	377	323	743	340	599
ENSG00000010310	12	12	11	20	4	6
ENSG00000010318	41	44	47	42	28	35
ENSG00000010319	0	0	0	2	1	0
ENSG00000010322	688	835	706	1382	686	945
ENSG00000010327	0	2	1	1	1	1
ENSG00000010361	143	277	128	144	104	150
ENSG00000010379	0	0	0	1	0	0
ENSG00000010404	167	203	114	376	136	209
ENSG00000010438	217	407	92	484	271	656
ENSG00000010539	73	107	151	123	116	128
ENSG00000010610	39	65	44	11	2	7
ENSG00000010626	64	125	41	57	39	51
ENSG00000010671	1	0	0	1	2	0
ENSG00000010704	154	148	230	194	133	164
ENSG00000010803	536	684	400	937	554	816
ENSG00000010810	278	295	241	430	273	365
ENSG00000010818	916	805	966	1456	860	979
ENSG00000010932	0	0	0	0	0	1
ENSG00000011007	1009	1073	1134	1610	1035	1409
ENSG00000011009	269	453	214	636	299	601
ENSG00000011021	303	333	276	666	334	423
ENSG00000011028	9276	12893	9839	18611	9881	12997
ENSG00000011052	0	0	0	0	0	0
ENSG00000011083	0	2	1	5	2	1
ENSG00000011105	1256	1802	1092	2716	1386	1978
ENSG00000011114	539	445	601	877	593	590
ENSG00000011132	198	292	149	295	111	217
ENSG00000011143	88	121	84	192	109	165
ENSG00000011198	422	436	452	534	496	673
ENSG00000011201	0	0	0	0	0	0
ENSG00000011243	463	624	506	1045	740	934
ENSG00000011258	67	47	92	108	98	75
ENSG00000011260	378	358	508	623	457	661
ENSG00000011275	1092	1285	990	1856	1046	1421
ENSG00000011295	191	171	203	243	234	231
ENSG00000011304	4434	5568	3896	9244	4698	7352
ENSG00000011332	76	130	47	157	70	144
ENSG00000011347	367	494	241	332	149	208
ENSG00000011376	456	566	510	846	571	734
ENSG00000011405	635	574	893	955	822	609
ENSG00000011422	830	1160	742	1716	849	1677
ENSG00000011426	3353	3020	6306	6057	4996	5651
ENSG00000011451	937	1182	923	2524	1059	1634
ENSG00000011454	393	351	466	777	538	677
ENSG00000011465	2389	2579	2496	1203	864	927
ENSG00000011478	172	174	145	325	176	285
ENSG00000011485	1097	1525	1024	2130	1115	2047
ENSG00000011523	160	204	140	174	95	150
ENSG00000011566	190	134	345	166	107	94
ENSG00000011590	0	0	0	0	0	0
ENSG00000011600	0	0	0	0	0	0
ENSG00000011638	60	36	55	65	47	46
ENSG00000011677	0	0	0	1	1	0
ENSG00000012048	566	588	859	1177	872	999
ENSG00000012061	1012	1615	548	1574	756	1511
ENSG00000012124	2	2	0	4	1	0
ENSG00000012171	204	255	197	487	235	291
ENSG00000012174	366	329	442	581	455	467
ENSG00000012211	113	194	99	197	112	180
ENSG00000012223	0	0	0	0	0	0
ENSG00000012232	940	1078	839	1829	1086	1326
ENSG00000012504	0	1	0	1	6	4
ENSG00000012660	1063	1207	1627	1695	1270	1248
ENSG00000012779	0	0	0	0	0	0
ENSG00000012817	422	469	502	581	373	421
ENSG00000012822	1149	1359	1075	1410	969	1065
ENSG00000012963	463	455	581	1058	758	862
ENSG00000012983	363	321	768	702	671	609
ENSG00000013016	1962	2702	1872	1683	944	1111
ENSG00000013275	1536	2054	1169	2628	1386	2217
ENSG00000013288	1067	1306	908	2276	1209	1757
ENSG00000013293	0	0	0	0	0	1
ENSG00000013297	2	1	1	0	1	0
ENSG00000013306	1465	2308	884	2883	1386	2876
ENSG00000013364	3461	5081	2336	5915	3092	4736
ENSG00000013374	792	905	735	1200	816	1161
ENSG00000013375	2158	1776	2081	2459	1924	1988
ENSG00000013392	134	130	108	172	108	115
ENSG00000013441	298	286	495	350	239	250
ENSG00000013503	230	245	261	396	209	280
ENSG00000013523	177	217	202	283	193	235
ENSG00000013561	372	362	487	619	472	497
ENSG00000013563	1224	1946	889	1707	1156	1787
ENSG00000013573	237	399	222	781	372	728
ENSG00000013583	334	524	273	477	320	513
ENSG00000013588	71	113	90	362	278	312
ENSG00000013619	349	334	349	654	347	487
ENSG00000013725	1	0	0	1	0	0
ENSG00000013810	1765	2403	2203	3182	1728	3019
ENSG00000014123	457	398	662	606	536	528
ENSG00000014138	86	94	101	235	150	193
ENSG00000014164	285	487	235	525	318	434
ENSG00000014216	2766	4109	2077	4665	2266	3883
ENSG00000014257	191	164	109	146	101	115
ENSG00000014641	1671	1769	1538	1652	976	1393
ENSG00000014824	836	726	957	1279	1120	1066
ENSG00000014914	222	206	228	476	278	361
ENSG00000014919	139	94	132	230	156	147
ENSG00000015133	22	21	19	37	29	32
ENSG00000015153	210	225	297	363	271	316
ENSG00000015171	799	797	998	1531	1263	1361
ENSG00000015285	0	3	2	0	0	3
ENSG00000015413	1	0	0	0	0	0
ENSG00000015475	341	393	315	538	381	589
ENSG00000015479	13	12	28	24	21	15
ENSG00000015520	0	0	0	0	0	1
ENSG00000015532	587	819	471	1060	586	900
ENSG00000015568	0	1	0	0	0	0
ENSG00000015592	2	0	0	1	0	0
ENSG00000015676	1498	2124	1221	2156	1353	2027
ENSG00000016082	12	13	12	0	1	1
ENSG00000016391	2	1	6	10	9	9
ENSG00000016402	1	0	0	2	0	1
ENSG00000016490	1	0	1	0	0	2
ENSG00000016602	0	0	0	0	1	0
ENSG00000016864	780	811	877	1203	802	994
ENSG00000017260	1466	1478	2058	2750	2087	2103
ENSG00000017427	3	4	0	1	1	2
ENSG00000017483	0	1	0	2	2	12
ENSG00000017797	1117	1391	1065	1673	1000	1456
ENSG00000018189	129	127	172	272	224	215
ENSG00000018236	0	0	0	1	3	0
ENSG00000018280	2	5	1	2	2	0
ENSG00000018408	684	777	953	1228	892	833
ENSG00000018510	399	397	747	316	300	282
ENSG00000018607	0	0	0	0	0	0
ENSG00000018610	175	198	208	224	189	254
ENSG00000018625	0	0	1	3	0	0
ENSG00000018699	264	202	278	201	159	215
ENSG00000018869	16	11	16	28	30	35
ENSG00000019102	0	0	0	0	0	0
ENSG00000019144	3213	3904	2216	4463	2687	3542
ENSG00000019169	0	0	0	1	2	0
ENSG00000019186	0	0	0	1	1	0
ENSG00000019485	143	135	121	161	92	110
ENSG00000019505	0	0	0	1	1	0
ENSG00000019549	1143	1162	1145	941	774	872
ENSG00000019582	0	3	0	1	1	0
ENSG00000019991	20	38	39	57	51	46
ENSG00000019995	429	377	460	688	538	599
ENSG00000020129	387	515	343	995	498	790
ENSG00000020181	2125	2589	1701	4313	2031	2647
ENSG00000020219	0	0	0	0	0	0
ENSG00000020256	239	338	214	501	254	372
ENSG00000020426	265	212	279	325	297	344
ENSG00000020577	630	641	803	1619	1017	1127
ENSG00000020633	6	2	7	0	2	1
ENSG00000020922	208	212	321	413	348	367
ENSG00000021300	2	0	0	1	0	4
ENSG00000021355	449	503	400	506	301	530
ENSG00000021461	0	0	0	0	0	0
ENSG00000021488	1	0	0	2	1	0
ENSG00000021574	129	104	198	101	94	89
ENSG00000021645	173	151	159	367	240	218
ENSG00000021762	450	521	410	856	451	693
ENSG00000021776	548	492	631	789	615	670
ENSG00000021826	207	206	274	296	194	194
ENSG00000021852	1	1	0	2	1	1
ENSG00000022267	1637	1340	1297	4659	3165	3668
ENSG00000022277	1511	2073	1115	2145	1375	2292
ENSG00000022355	0	0	0	0	1	0
ENSG00000022556	0	0	0	1	0	0
ENSG00000022567	82	80	90	230	107	167
ENSG00000022840	1548	1880	1458	2669	1788	2308
ENSG00000022976	87	117	133	236	156	181
ENSG00000023041	318	352	387	554	369	444
ENSG00000023171	283	284	270	453	259	351
ENSG00000023191	2322	3639	1863	4997	2794	4916
ENSG00000023228	977	1086	1219	894	694	794
ENSG00000023287	519	419	862	845	800	645
ENSG00000023318	635	712	718	1047	827	970
ENSG00000023330	533	663	536	903	574	905
ENSG00000023445	4	2	6	12	16	11
ENSG00000023516	663	474	1160	1023	929	674
ENSG00000023572	155	143	209	189	240	255
ENSG00000023608	92	93	177	151	161	191
ENSG00000023697	471	499	364	534	492	709
ENSG00000023734	1917	2433	1757	2604	1938	2492
ENSG00000023839	12	10	9	13	14	11
ENSG00000023892	7	17	23	3	3	10
ENSG00000023902	1300	1749	753	1542	904	1561
ENSG00000023909	423	405	534	494	388	356
ENSG00000024048	458	421	580	656	500	464
ENSG00000024422	4192	5258	3576	11763	5594	8231
ENSG00000024526	384	290	768	530	570	477
ENSG00000024862	80	148	104	126	111	133
ENSG00000025039	0	0	1	0	0	0
ENSG00000025156	105	90	187	217	178	222
ENSG00000025293	542	523	553	791	547	595
ENSG00000025423	179	156	88	94	74	112
ENSG00000025434	119	159	50	90	62	72
ENSG00000025708	2	0	1	4	2	0
ENSG00000025770	1720	2626	1183	2343	1227	2345
ENSG00000025772	1622	2126	1313	2014	1267	2405
ENSG00000025796	996	935	1237	1498	1195	1144
ENSG00000025800	789	759	862	1334	811	945
ENSG00000026025	98474	126139	85576	164786	94203	140848
ENSG00000026036	3	17	31	38	37	26
ENSG00000026103	292	249	459	205	158	164
ENSG00000026297	61	101	23	63	38	114
ENSG00000026508	6612	7565	7851	11797	8029	9468
ENSG00000026559	12	17	8	4	0	1
ENSG00000026652	23	23	20	11	10	11
ENSG00000026751	10	6	9	0	0	0
ENSG00000026950	198	223	195	271	133	207
ENSG00000027001	159	175	111	198	160	220
ENSG00000027075	5	4	2	1	8	7
ENSG00000027644	0	0	0	0	0	0
ENSG00000027697	286	240	492	535	417	438
ENSG00000027847	424	624	318	868	486	929
ENSG00000027869	1	7	0	5	1	3
ENSG00000028116	321	357	389	188	186	228
ENSG00000028137	0	1	0	0	0	0
ENSG00000028203	422	442	553	697	618	677
ENSG00000028277	265	363	203	284	143	184
ENSG00000028310	468	574	464	1064	555	838
ENSG00000028528	1130	1381	1103	1657	1059	1444
ENSG00000028839	145	144	222	238	222	276
ENSG00000029153	415	325	739	583	476	494
ENSG00000029363	1055	861	1357	1096	872	992
ENSG00000029364	672	548	823	1324	936	1045
ENSG00000029534	317	438	294	300	160	198
ENSG00000029559	0	0	0	0	0	0
ENSG00000029639	164	138	142	185	140	185
ENSG00000029725	1155	1173	1456	1591	1244	1444
ENSG00000029993	418	476	500	714	484	617
ENSG00000030066	468	430	677	770	471	543
ENSG00000030110	489	725	218	499	283	557
ENSG00000030304	1	2	0	3	0	1
ENSG00000030419	45	30	53	26	33	18
ENSG00000030582	2857	4273	2340	8786	4311	6862
ENSG00000031003	422	347	826	727	704	562
ENSG00000031081	1361	1437	1169	1357	861	992
ENSG00000031691	183	206	313	265	229	341
ENSG00000031698	3730	5086	2298	4483	2688	4227
ENSG00000031823	715	960	689	1441	866	1259
ENSG00000032219	145	136	202	154	136	125
ENSG00000032389	502	661	367	452	252	445
ENSG00000032444	1382	1750	921	2856	1286	1987
ENSG00000032742	53	42	92	91	107	111
ENSG00000033011	704	924	404	1044	594	1085
ENSG00000033030	254	224	320	362	260	331
ENSG00000033050	336	502	377	630	373	614
ENSG00000033100	1426	1791	1217	3294	1669	2618
ENSG00000033122	0	0	0	0	1	1
ENSG00000033170	631	635	732	894	650	806
ENSG00000033178	579	464	1133	885	898	805
ENSG00000033327	194	293	166	317	238	240
ENSG00000033627	475	576	480	1081	642	802
ENSG00000033800	456	476	421	540	402	418
ENSG00000033867	381	262	601	1200	1308	853
ENSG00000034053	396	469	306	844	454	695
ENSG00000034152	702	813	516	1755	756	1314
ENSG00000034239	1	4	2	0	0	0
ENSG00000034510	24091	42556	13513	18475	9597	26744
ENSG00000034533	90	111	77	90	74	85
ENSG00000034677	373	321	504	574	495	442
ENSG00000034693	106	141	210	163	173	195
ENSG00000034713	594	591	563	936	647	1006
ENSG00000034971	1	0	0	1	0	0
ENSG00000035115	141	189	103	104	100	108
ENSG00000035141	413	399	414	217	142	218
ENSG00000035403	10433	11512	8952	15881	10236	12803
ENSG00000035499	96	101	168	148	95	117
ENSG00000035664	136	150	121	105	74	97
ENSG00000035681	441	488	587	659	543	514
ENSG00000035687	280	250	531	635	506	516
ENSG00000035720	0	0	0	1	0	0
ENSG00000035862	11903	14944	13078	33982	20392	23565
ENSG00000035928	956	956	1060	1486	1263	1485
ENSG00000036054	633	611	853	1012	880	855
ENSG00000036257	937	898	1072	686	565	597
ENSG00000036448	0	0	0	2	0	2
ENSG00000036473	2	0	0	0	0	0
ENSG00000036530	3	5	1	1	3	8
ENSG00000036549	456	424	733	898	676	665
ENSG00000036565	0	0	0	0	0	0
ENSG00000036672	7	8	0	7	1	5
ENSG00000036828	0	0	0	0	0	0
ENSG00000037042	175	269	185	369	142	225
ENSG00000037241	408	564	172	401	226	636
ENSG00000037280	0	1	0	2	0	0
ENSG00000037474	908	840	1046	1470	1071	1235
ENSG00000037637	359	486	390	619	364	565
ENSG00000037749	234	189	360	369	277	255
ENSG00000037757	356	424	273	508	287	465
ENSG00000037897	219	271	244	451	287	408
ENSG00000037965	10	9	8	9	8	7
ENSG00000038002	371	446	461	756	685	733
ENSG00000038210	298	204	548	495	482	395
ENSG00000038219	672	602	800	1026	749	682
ENSG00000038274	725	672	669	1040	745	917
ENSG00000038295	18	22	53	332	226	241
ENSG00000038358	587	732	608	1411	777	1149
ENSG00000038382	5424	5071	5924	10606	5932	6458
ENSG00000038427	445	428	541	31	6	3
ENSG00000038532	518	619	464	1035	583	743
ENSG00000038945	478	419	732	29	0	4
ENSG00000039068	7	7	2	15	12	6
ENSG00000039123	763	787	1085	1074	840	898
ENSG00000039139	77	67	56	112	62	72
ENSG00000039319	404	236	723	552	478	432
ENSG00000039523	1192	1562	1134	2283	1269	1776
ENSG00000039537	1	0	0	1	0	0
ENSG00000039560	3118	2737	3221	3293	2461	2595
ENSG00000039600	1	0	2	2	1	3
ENSG00000039650	386	669	329	738	318	661
ENSG00000039987	2	0	0	0	0	0
ENSG00000040199	236	164	249	463	302	320
ENSG00000040275	1269	1208	1606	1737	1412	1732
ENSG00000040341	160	134	236	280	254	270
ENSG00000040487	281	463	265	687	393	701
ENSG00000040531	238	311	133	321	188	248
ENSG00000040608	23	31	9	34	13	34
ENSG00000040633	1104	1363	840	1625	863	1349
ENSG00000040731	0	0	0	0	0	0
ENSG00000040933	217	300	225	277	160	185
ENSG00000041353	28	24	52	29	36	27
ENSG00000041357	1613	1825	1675	1846	1716	2244
ENSG00000041515	3	0	0	0	0	2
ENSG00000041802	588	610	531	733	592	738
ENSG00000041880	418	551	284	465	251	465
ENSG00000041982	22996	23787	23266	55997	31890	36585
ENSG00000041988	213	274	134	320	180	305
ENSG00000042062	25	35	24	7	1	0
ENSG00000042088	225	318	291	445	289	410
ENSG00000042286	243	388	228	561	351	532
ENSG00000042304	0	0	2	0	0	0
ENSG00000042317	69	84	84	103	83	97
ENSG00000042429	53	62	63	135	56	93
ENSG00000042445	779	1088	637	626	382	620
ENSG00000042493	229	355	150	17	6	1
ENSG00000042753	2170	2531	1521	4440	2022	3536
ENSG00000042781	4	7	2	24	15	7
ENSG00000042813	0	0	0	0	0	0
ENSG00000042832	4	9	11	16	8	10
ENSG00000042980	0	0	0	0	2	0
ENSG00000043039	0	1	0	2	0	1
ENSG00000043093	198	198	317	361	352	312
ENSG00000043143	436	641	378	799	490	677
ENSG00000043355	0	0	0	0	0	0
ENSG00000043462	0	0	0	0	0	2
ENSG00000043514	245	271	287	369	214	358
ENSG00000043591	0	3	0	1	3	6
ENSG00000044012	0	0	0	0	0	0
ENSG00000044090	996	1495	816	2007	1051	1483
ENSG00000044115	6767	7390	6329	10493	6327	8345
ENSG00000044446	202	198	169	361	218	217
ENSG00000044459	176	190	278	227	185	175
ENSG00000044524	0	0	0	18	10	8
ENSG00000044574	11259	13226	10754	17025	10218	12594
ENSG00000046604	0	1	0	1	1	0
ENSG00000046647	101	171	71	126	70	122
ENSG00000046651	119	88	94	134	96	107
ENSG00000046653	0	0	1	0	0	1
ENSG00000046774	169	214	225	21	7	3
ENSG00000046889	0	2	3	1	0	1
ENSG00000047056	428	522	325	772	396	520
ENSG00000047188	271	249	448	403	363	364
ENSG00000047230	109	140	178	177	107	156
ENSG00000047249	440	568	433	727	479	705
ENSG00000047315	1205	1138	1835	2266	1552	1700
ENSG00000047346	267	215	356	358	291	227
ENSG00000047365	0	0	0	2	1	0
ENSG00000047410	1256	1067	1835	2118	1700	1674
ENSG00000047457	0	1	1	1	0	1
ENSG00000047578	275	310	232	540	293	369
ENSG00000047579	99	162	100	231	183	259
ENSG00000047597	0	1	0	0	1	0
ENSG00000047617	1	3	1	1	0	0
ENSG00000047621	380	306	384	439	353	404
ENSG00000047634	136	127	227	484	283	342
ENSG00000047644	593	546	651	1107	611	771
