cell_id	sample_id	blinded_cohort	seurat_cluster	n_counts	n_features	percent_mito
cell_00078	sample_04	cohort_gamma	3	11004.0	2615	4.0348964013086155
cell_00079	sample_04	cohort_gamma	1	8242.0	2552	6.151419558359621
cell_00080	sample_04	cohort_gamma	4	8073.0	2008	2.6260374086461042
cell_00081	sample_04	cohort_gamma	3	8057.0	2241	2.097554921186546
cell_00082	sample_04	cohort_gamma	1	13895.0	2836	3.2169845268082047
cell_00083	sample_04	cohort_gamma	1	12605.0	3048	3.339944466481555
cell_00084	sample_04	cohort_gamma	1	10003.0	2665	2.749175247425772
cell_00085	sample_04	cohort_gamma	0	24900.0	4233	5.911646586345381
cell_00086	sample_04	cohort_gamma	1	7610.0	1896	2.325886990801577
cell_00087	sample_04	cohort_gamma	2	6415.0	2052	1.6212003117692906
cell_00088	sample_04	cohort_gamma	1	13182.0	2738	3.2468517675618265
cell_00089	sample_04	cohort_gamma	4	6239.0	1728	2.869049527167815
cell_00090	sample_04	cohort_gamma	3	3614.0	1665	9.352517985611511
cell_00091	sample_04	cohort_gamma	1	17025.0	3494	4.464023494860499
cell_00092	sample_04	cohort_gamma	2	11187.0	2936	4.7108250648073655
cell_00093	sample_04	cohort_gamma	2	10343.0	2260	1.314898965483902
cell_00094	sample_04	cohort_gamma	2	11307.0	2829	1.6980631467232685
cell_00095	sample_04	cohort_gamma	2	18463.0	3608	2.9572658831175866
cell_00096	sample_04	cohort_gamma	0	24838.0	5141	5.551976809727031
cell_00097	sample_04	cohort_gamma	3	9431.0	2281	4.527621673205386
cell_00098	sample_04	cohort_gamma	5	7942.0	2247	3.4626038781163437
cell_00099	sample_04	cohort_gamma	1	10222.0	2638	3.4631187634513796
cell_00100	sample_04	cohort_gamma	3	10552.0	1870	2.3597422289613346
cell_00101	sample_04	cohort_gamma	4	4974.0	1696	2.613590671491757
cell_00102	sample_04	cohort_gamma	4	17446.0	3533	4.511062707784019
cell_00103	sample_04	cohort_gamma	7	15574.0	3121	3.2939514575574673
cell_00104	sample_04	cohort_gamma	7	24494.0	4670	3.4253286519147546
cell_00105	sample_04	cohort_gamma	4	3631.0	1235	2.8917653538969983
cell_00106	sample_04	cohort_gamma	2	15973.0	3553	4.250923433293683
cell_00107	sample_04	cohort_gamma	4	11526.0	2488	1.709179246920007
cell_00108	sample_04	cohort_gamma	1	9915.0	2479	3.872919818456883
cell_00109	sample_04	cohort_gamma	2	9939.0	2432	4.799275581044371
cell_00110	sample_04	cohort_gamma	4	10796.0	2405	4.325676176361616
cell_00111	sample_04	cohort_gamma	0	16278.0	4153	4.349428676741614
cell_00112	sample_04	cohort_gamma	2	10109.0	2614	1.8300524285290336
cell_00113	sample_04	cohort_gamma	4	19600.0	3029	2.9642857142857144
cell_00114	sample_04	cohort_gamma	2	13639.0	2803	3.7026174939511693
cell_00115	sample_04	cohort_gamma	1	8009.0	2149	7.578973654638532
cell_00116	sample_04	cohort_gamma	0	3278.0	1187	0.8541793776693106
cell_00117	sample_04	cohort_gamma	1	12157.0	2863	3.3396397137451674
cell_00118	sample_04	cohort_gamma	1	11002.0	2560	3.490274495546265
cell_00119	sample_04	cohort_gamma	1	14000.0	2764	2.664285714285714
cell_00120	sample_04	cohort_gamma	4	12323.0	2154	3.6679380021098758
cell_00121	sample_04	cohort_gamma	1	10716.0	2453	3.9567002612915263
cell_00122	sample_04	cohort_gamma	2	19080.0	3209	3.6897274633123693
cell_00123	sample_04	cohort_gamma	5	30465.0	4753	3.085507959954046
cell_00124	sample_04	cohort_gamma	2	10778.0	2748	2.904063833735387
cell_00125	sample_04	cohort_gamma	1	12523.0	2884	4.040565359738082
cell_00126	sample_04	cohort_gamma	6	1494.0	729	15.127175368139223
cell_00127	sample_04	cohort_gamma	0	33283.0	5503	3.0706366613586518
cell_00128	sample_04	cohort_gamma	4	9772.0	2403	4.226361031518625
cell_00129	sample_04	cohort_gamma	4	13253.0	2818	3.1917301743001585
cell_00130	sample_04	cohort_gamma	2	19222.0	4080	5.301217355113931
cell_00131	sample_04	cohort_gamma	1	5934.0	1771	6.673407482305358
cell_00132	sample_04	cohort_gamma	2	12534.0	3044	2.2658369235678952
cell_00133	sample_04	cohort_gamma	4	6218.0	1692	2.4284335799292376
cell_00134	sample_04	cohort_gamma	6	2051.0	722	19.210141394441735
cell_00135	sample_04	cohort_gamma	3	4207.0	1228	9.793201806512956
cell_00136	sample_04	cohort_gamma	3	10987.0	2337	2.466551378902339
cell_00137	sample_04	cohort_gamma	6	1454.0	758	4.470426409903714
cell_00138	sample_04	cohort_gamma	1	17468.0	3250	3.7439890084726355
cell_00139	sample_04	cohort_gamma	1	13308.0	2826	3.2912533814247067
cell_00140	sample_04	cohort_gamma	4	3603.0	1622	3.6081043574798777
cell_00141	sample_04	cohort_gamma	3	1694.0	809	2.4203069657615113
cell_00142	sample_04	cohort_gamma	2	16118.0	3368	3.002853952103239
cell_00143	sample_04	cohort_gamma	4	12936.0	2764	3.6487322201607912
cell_00144	sample_04	cohort_gamma	1	1474.0	819	12.008141112618723
cell_00145	sample_04	cohort_gamma	2	11851.0	2730	3.1642899333389587
cell_00146	sample_04	cohort_gamma	0	11013.0	3290	4.067919731226732
cell_00147	sample_04	cohort_gamma	3	8455.0	2041	4.246008279124778
cell_00148	sample_04	cohort_gamma	1	18276.0	3411	3.2775224337929525
cell_00149	sample_04	cohort_gamma	4	4984.0	1682	1.4446227929373996
cell_00150	sample_04	cohort_gamma	1	8702.0	2303	3.608365892898184
cell_00151	sample_04	cohort_gamma	4	3330.0	1581	0.18018018018018017
cell_00152	sample_04	cohort_gamma	0	22982.0	4529	2.928378731180924
cell_00153	sample_04	cohort_gamma	2	4852.0	1644	1.8549051937345424
cell_00154	sample_04	cohort_gamma	2	13730.0	3071	6.016023306627822
cell_00155	sample_04	cohort_gamma	4	10722.0	2863	6.052975191195673
cell_00156	sample_04	cohort_gamma	2	3960.0	1453	2.702020202020202
cell_00157	sample_04	cohort_gamma	1	4834.0	1855	5.60612329333885
cell_00158	sample_04	cohort_gamma	2	11745.0	3031	1.8986802894848873
cell_00159	sample_04	cohort_gamma	1	2791.0	1234	2.0781082049444644
cell_00160	sample_04	cohort_gamma	1	14309.0	3251	3.962541058075337
cell_00161	sample_04	cohort_gamma	0	15583.0	4002	3.1765385355836484
cell_00162	sample_04	cohort_gamma	6	3802.0	1123	12.598632298790111
cell_00163	sample_04	cohort_gamma	0	6176.0	1982	19.5110103626943
cell_00164	sample_04	cohort_gamma	3	14603.0	3265	3.3760186263096625
cell_00165	sample_04	cohort_gamma	6	1405.0	758	18.291814946619215
cell_00166	sample_04	cohort_gamma	7	37519.0	5249	3.832724752791919
cell_00167	sample_04	cohort_gamma	1	10870.0	2481	4.093836246550138
cell_00168	sample_04	cohort_gamma	4	7152.0	2474	1.552013422818792
cell_00169	sample_04	cohort_gamma	1	20463.0	3726	3.064066852367688
cell_00170	sample_04	cohort_gamma	1	8398.0	2138	4.91783758037628
cell_00171	sample_04	cohort_gamma	2	8840.0	2559	2.160633484162896
cell_00172	sample_04	cohort_gamma	5	32386.0	5079	3.992465880318656
cell_00173	sample_04	cohort_gamma	4	4980.0	1472	1.4056224899598393
cell_00174	sample_04	cohort_gamma	2	19138.0	3874	2.9470164071480824
cell_00175	sample_04	cohort_gamma	7	20964.0	4408	8.185460789925587
cell_00176	sample_04	cohort_gamma	0	9496.0	2685	3.1171019376579614
cell_00177	sample_04	cohort_gamma	4	5440.0	1799	3.014705882352941
cell_00178	sample_04	cohort_gamma	2	12918.0	3076	2.895185013159932
cell_00179	sample_04	cohort_gamma	1	12855.0	2601	2.1625826526643332
cell_00180	sample_04	cohort_gamma	2	20080.0	3512	4.885458167330677
cell_00181	sample_04	cohort_gamma	0	11755.0	3247	2.2543598468736707
cell_00182	sample_04	cohort_gamma	2	12290.0	3109	2.4572823433685924
cell_00183	sample_04	cohort_gamma	0	11197.0	2302	5.126373135661337
cell_00184	sample_04	cohort_gamma	2	16802.0	3814	3.862635400547554
cell_00185	sample_04	cohort_gamma	2	10648.0	2741	6.433132982719759
cell_00186	sample_04	cohort_gamma	1	16993.0	3129	3.1601247572529862
cell_00187	sample_04	cohort_gamma	4	20453.0	2732	4.8843690412164475
cell_00188	sample_04	cohort_gamma	8	6466.0	2089	3.6189297865759356
cell_00189	sample_04	cohort_gamma	1	11264.0	2918	4.057173295454546
cell_00190	sample_04	cohort_gamma	6	1591.0	774	1.8227529855436833
cell_00191	sample_04	cohort_gamma	2	14833.0	3048	3.3371536439021106
cell_00192	sample_04	cohort_gamma	2	19298.0	3682	2.6842159809306665
cell_00193	sample_04	cohort_gamma	3	5749.0	1559	3.1309793007479563
cell_00194	sample_04	cohort_gamma	4	3936.0	1423	2.083333333333333
cell_00195	sample_04	cohort_gamma	6	1954.0	674	19.498464687819858
cell_00196	sample_04	cohort_gamma	1	4834.0	1292	0.16549441456350847
cell_00197	sample_04	cohort_gamma	2	17425.0	3592	4.355810616929698
cell_00198	sample_04	cohort_gamma	1	18890.0	4046	3.4621492853361566
cell_00199	sample_04	cohort_gamma	4	15045.0	2799	3.9149219009637757
cell_00200	sample_04	cohort_gamma	2	21451.0	3536	3.2446039811663794
cell_00201	sample_04	cohort_gamma	2	6070.0	1991	0.9884678747940692
cell_00202	sample_04	cohort_gamma	3	13846.0	3266	2.152246136068179
cell_00203	sample_04	cohort_gamma	6	592.0	414	8.783783783783784
cell_00204	sample_04	cohort_gamma	2	9520.0	2601	3.256302521008404
cell_00205	sample_04	cohort_gamma	1	7857.0	2370	6.885579737813415
cell_00206	sample_04	cohort_gamma	2	14235.0	2820	1.9037583421145063
cell_00207	sample_04	cohort_gamma	0	19134.0	4309	4.045155221072436
cell_00208	sample_04	cohort_gamma	2	5174.0	1614	1.604174719752609
cell_00209	sample_04	cohort_gamma	0	16965.0	3771	4.609490126731506
cell_00210	sample_04	cohort_gamma	2	8462.0	2182	4.159773103285276
cell_00211	sample_04	cohort_gamma	1	15654.0	2898	2.695796601507602
cell_00212	sample_04	cohort_gamma	3	11895.0	2698	5.1954602774274905
cell_00213	sample_04	cohort_gamma	5	17253.0	3522	4.480380223729206
cell_00214	sample_04	cohort_gamma	1	4897.0	1681	5.166428425566673
cell_00215	sample_04	cohort_gamma	3	1607.0	758	3.546981953951462
cell_00216	sample_04	cohort_gamma	3	14012.0	3148	3.3328575506708535
cell_00217	sample_04	cohort_gamma	2	6730.0	2126	4.13075780089153
cell_00218	sample_04	cohort_gamma	3	4857.0	1861	2.305950175005147
cell_00219	sample_04	cohort_gamma	1	23127.0	3648	2.38682059929952
cell_00220	sample_04	cohort_gamma	3	19055.0	3667	2.519023878247179
cell_00221	sample_04	cohort_gamma	2	30122.0	4595	1.8458269703206958
cell_00222	sample_04	cohort_gamma	3	5275.0	1684	7.033175355450237
cell_00223	sample_04	cohort_gamma	0	9402.0	2895	8.07275047862157
cell_00224	sample_04	cohort_gamma	3	9801.0	3020	6.2952759922456885
cell_00225	sample_04	cohort_gamma	3	22769.0	3702	2.775703807808863
cell_00226	sample_04	cohort_gamma	0	18450.0	3874	4.504065040650406
cell_00227	sample_04	cohort_gamma	3	7408.0	2131	4.184665226781858
cell_00228	sample_04	cohort_gamma	3	9697.0	2902	5.939981437558008
cell_00229	sample_04	cohort_gamma	2	8099.0	2710	3.06210643289295
cell_00230	sample_04	cohort_gamma	2	22845.0	4103	3.177938279711096
cell_00231	sample_04	cohort_gamma	7	14393.0	3689	4.59251024803724
cell_00232	sample_04	cohort_gamma	3	17939.0	4091	3.1161157255142427
cell_00233	sample_04	cohort_gamma	3	7495.0	1983	1.4809873248832555
cell_00234	sample_04	cohort_gamma	2	17538.0	3450	2.976394115634622
cell_00235	sample_04	cohort_gamma	3	8921.0	2619	5.873780966259388
cell_00236	sample_04	cohort_gamma	1	18532.0	3794	2.962443341247572
cell_00237	sample_04	cohort_gamma	1	8249.0	2399	1.5274578736816584
cell_00238	sample_04	cohort_gamma	3	10827.0	2911	6.797820264154429
cell_00239	sample_04	cohort_gamma	1	6814.0	2291	4.094511300264162
cell_00240	sample_04	cohort_gamma	0	22062.0	4405	2.8147946695675823
cell_00241	sample_04	cohort_gamma	4	15890.0	3382	3.725613593455003
cell_00242	sample_04	cohort_gamma	4	13429.0	3337	4.855164196887333
cell_00243	sample_04	cohort_gamma	2	22382.0	3675	3.4447323742292917
cell_00244	sample_04	cohort_gamma	2	13002.0	2992	5.529918474080911
cell_00245	sample_04	cohort_gamma	0	3791.0	1275	12.134001582695857
cell_00246	sample_04	cohort_gamma	1	8532.0	2132	2.26207219878106
cell_00247	sample_04	cohort_gamma	1	10692.0	2456	3.928170594837262
cell_00248	sample_04	cohort_gamma	1	10533.0	2527	1.9652520649387637
cell_00249	sample_04	cohort_gamma	4	11118.0	2256	5.5045871559633035
cell_00250	sample_04	cohort_gamma	7	25539.0	4689	2.96409413054544
cell_00251	sample_04	cohort_gamma	3	8140.0	2473	0.8476658476658476
cell_00252	sample_04	cohort_gamma	3	10187.0	2027	3.4357514479238245
cell_00253	sample_04	cohort_gamma	2	14098.0	3328	6.043410412824514
cell_00254	sample_04	cohort_gamma	5	12733.0	2609	2.206864054032828
cell_00255	sample_04	cohort_gamma	3	16125.0	3495	5.097674418604651
cell_00256	sample_04	cohort_gamma	2	21178.0	4039	5.368778921522335
cell_00257	sample_04	cohort_gamma	1	14654.0	3087	4.886037941858879
cell_00258	sample_04	cohort_gamma	4	15626.0	3431	2.7262255215666196
cell_00259	sample_04	cohort_gamma	5	13774.0	3225	4.617395092202701
cell_00260	sample_04	cohort_gamma	1	9282.0	2098	3.0165912518853695
cell_00261	sample_04	cohort_gamma	5	13139.0	3200	3.4629728289824193
cell_00262	sample_04	cohort_gamma	4	12484.0	3107	7.289330342838833
cell_00263	sample_04	cohort_gamma	2	9600.0	2422	2.520833333333333
cell_00264	sample_04	cohort_gamma	2	14790.0	3114	4.3272481406355645
cell_00265	sample_04	cohort_gamma	2	8487.0	2538	2.9221161776835163
cell_00266	sample_04	cohort_gamma	0	10545.0	2570	4.125177809388336
cell_00267	sample_04	cohort_gamma	3	5837.0	1663	5.088230255268117
cell_00268	sample_04	cohort_gamma	4	4963.0	1862	4.976828531130365
cell_00269	sample_04	cohort_gamma	0	18901.0	3801	3.5289138140839107
cell_00270	sample_04	cohort_gamma	3	9798.0	2522	2.378036333945703
cell_00271	sample_04	cohort_gamma	3	18117.0	3884	3.173814649224485
cell_00272	sample_04	cohort_gamma	6	749.0	436	13.21762349799733
cell_00273	sample_04	cohort_gamma	1	11699.0	2413	2.683990084622617
cell_00274	sample_04	cohort_gamma	2	15880.0	3445	3.8602015113350125
cell_00275	sample_04	cohort_gamma	2	13057.0	3315	2.7724592172780884
cell_00276	sample_04	cohort_gamma	2	23042.0	4267	3.593438069612013
cell_00277	sample_04	cohort_gamma	2	14162.0	2709	3.5093913289083463
cell_00278	sample_04	cohort_gamma	0	10961.0	2611	4.297053188577685
cell_00279	sample_04	cohort_gamma	5	17921.0	3573	4.82673957926455
cell_00280	sample_04	cohort_gamma	0	20158.0	4225	5.739656711975394
cell_00281	sample_04	cohort_gamma	1	10662.0	2468	3.1607578315513036
cell_00282	sample_04	cohort_gamma	2	14610.0	3237	5.2703627652292955
cell_00283	sample_04	cohort_gamma	1	4975.0	1732	10.57286432160804
cell_00284	sample_04	cohort_gamma	2	7186.0	2055	4.119120512106875
cell_00285	sample_04	cohort_gamma	3	11573.0	2736	6.774388663267951
cell_00286	sample_04	cohort_gamma	6	1956.0	770	22.392638036809817
cell_00287	sample_04	cohort_gamma	3	5297.0	1832	0.2643005474797055
cell_00288	sample_04	cohort_gamma	7	17154.0	3921	2.5008744316194473
cell_00289	sample_04	cohort_gamma	2	16104.0	3298	3.148286140089419
cell_00290	sample_04	cohort_gamma	1	15778.0	2998	2.3513753327417923
cell_00291	sample_04	cohort_gamma	6	2479.0	1304	5.445744251714401
cell_00292	sample_04	cohort_gamma	3	15052.0	3148	3.248737709274515
cell_00293	sample_04	cohort_gamma	2	26188.0	4040	2.306399877806629
cell_00294	sample_04	cohort_gamma	1	13239.0	3201	3.542563637736989
cell_00295	sample_04	cohort_gamma	1	2807.0	1187	6.448165301033132
cell_00296	sample_04	cohort_gamma	2	14152.0	3023	5.652911249293386
cell_00297	sample_04	cohort_gamma	6	2949.0	1157	7.154967785690064
cell_00298	sample_04	cohort_gamma	2	16538.0	3303	2.1586648929737575
cell_00299	sample_04	cohort_gamma	0	1804.0	946	15.133037694013304
cell_00300	sample_04	cohort_gamma	3	5464.0	1897	3.6786237188872617
cell_00301	sample_04	cohort_gamma	2	7204.0	2207	2.9289283731260407
cell_00302	sample_04	cohort_gamma	1	19336.0	3615	5.161357054199421
cell_00303	sample_04	cohort_gamma	1	17393.0	3141	2.7942275628126256
cell_00304	sample_04	cohort_gamma	2	12224.0	3010	2.8714005235602094
cell_00305	sample_04	cohort_gamma	2	9470.0	2520	2.3970432946145723
cell_00306	sample_04	cohort_gamma	0	20209.0	4137	4.0575980998564996
cell_00307	sample_04	cohort_gamma	1	17556.0	3525	4.778992936887674
cell_00308	sample_04	cohort_gamma	2	15295.0	3690	1.4710689767898006
cell_00309	sample_04	cohort_gamma	4	5087.0	1674	8.688814625516022
cell_00310	sample_04	cohort_gamma	2	6494.0	2050	5.143209116107176
cell_00311	sample_04	cohort_gamma	4	14932.0	2799	2.216715778194482
cell_00312	sample_04	cohort_gamma	1	3614.0	1384	9.601549529607084
cell_00313	sample_04	cohort_gamma	1	15984.0	2791	3.5285285285285286
cell_00314	sample_04	cohort_gamma	2	21697.0	3449	2.6086555745033877
cell_00315	sample_04	cohort_gamma	1	18303.0	3539	3.8135824728186636
cell_00316	sample_04	cohort_gamma	4	18004.0	3275	7.026216396356364
cell_00317	sample_04	cohort_gamma	2	11513.0	2778	2.779466689828889
cell_00318	sample_04	cohort_gamma	4	11621.0	2768	2.0480165218139574
cell_00319	sample_04	cohort_gamma	1	5351.0	1686	15.286862268734817
cell_00320	sample_04	cohort_gamma	3	10305.0	2432	2.163998059194566
cell_00321	sample_04	cohort_gamma	3	6719.0	1868	2.917100759041524
cell_00322	sample_04	cohort_gamma	4	14724.0	3216	3.2464004346644932
cell_00323	sample_04	cohort_gamma	3	16739.0	2967	2.8317103769639766
cell_00324	sample_04	cohort_gamma	4	8337.0	1820	0.17992083483267363
cell_00325	sample_04	cohort_gamma	3	4755.0	1560	1.8927444794952681
cell_00326	sample_04	cohort_gamma	3	8728.0	2660	6.496333638863428
cell_00327	sample_04	cohort_gamma	0	18170.0	3661	4.089157952669234
cell_00328	sample_04	cohort_gamma	6	765.0	508	2.2222222222222223
cell_00329	sample_04	cohort_gamma	3	6917.0	2091	0.9541708833309239
cell_00330	sample_04	cohort_gamma	2	8205.0	2366	1.5112736136502132
cell_00331	sample_04	cohort_gamma	2	14725.0	2850	2.3497453310696095
cell_00332	sample_04	cohort_gamma	1	14751.0	3006	3.3896007050369463
cell_00333	sample_04	cohort_gamma	3	11210.0	2984	3.336306868867083
cell_00334	sample_04	cohort_gamma	5	14295.0	3541	7.156348373557188
cell_00335	sample_04	cohort_gamma	3	10879.0	2485	3.4470079970585528
cell_00336	sample_04	cohort_gamma	3	3799.0	1260	3.6851803106080547
cell_00337	sample_04	cohort_gamma	1	12177.0	2758	5.51860064055186
cell_00338	sample_04	cohort_gamma	2	16171.0	2934	2.7765753509368625
cell_00339	sample_04	cohort_gamma	3	5319.0	1552	5.658958450836623
cell_00340	sample_04	cohort_gamma	2	10909.0	2929	3.5016958474653954
cell_00341	sample_04	cohort_gamma	0	13557.0	3123	5.001106439477761
cell_00342	sample_04	cohort_gamma	1	9878.0	2395	2.176553958291152
cell_00343	sample_04	cohort_gamma	4	13639.0	3056	4.362489918615734
cell_00344	sample_04	cohort_gamma	1	10331.0	2505	4.239667021585519
cell_00345	sample_04	cohort_gamma	2	15787.0	3118	3.8195984037499207
cell_00346	sample_04	cohort_gamma	3	8327.0	2522	2.125615467755494
cell_00347	sample_04	cohort_gamma	4	11179.0	2889	4.159584936040791
cell_00348	sample_04	cohort_gamma	2	12228.0	3246	3.31207065750736
cell_00349	sample_04	cohort_gamma	6	3378.0	910	0.6216696269982238
cell_00350	sample_04	cohort_gamma	1	16936.0	3047	3.2061880018894664
cell_00351	sample_04	cohort_gamma	2	31262.0	4550	2.0024310664704754
cell_00352	sample_04	cohort_gamma	4	4768.0	1423	3.7751677852348995
cell_00353	sample_04	cohort_gamma	6	4022.0	1400	17.62804574838389
cell_00354	sample_04	cohort_gamma	0	20162.0	3986	1.4730681480011905
cell_00355	sample_04	cohort_gamma	2	17263.0	3654	5.1787059027978914
cell_00356	sample_04	cohort_gamma	1	14200.0	3263	3.514084507042253
cell_00357	sample_04	cohort_gamma	1	13210.0	3020	4.6707040121120365
cell_00358	sample_04	cohort_gamma	0	17642.0	3642	2.0632581339984126
cell_00359	sample_04	cohort_gamma	2	17248.0	3513	2.9510667903525047
cell_00360	sample_04	cohort_gamma	0	11346.0	3005	3.5430988894764677
cell_00361	sample_04	cohort_gamma	2	10120.0	2592	4.011857707509881
cell_00362	sample_04	cohort_gamma	6	1797.0	682	8.013355592654424
cell_00363	sample_04	cohort_gamma	2	16181.0	3060	4.2828008157715844
cell_00364	sample_04	cohort_gamma	3	19146.0	3527	3.546432675232424
cell_00365	sample_04	cohort_gamma	1	10669.0	2615	1.8933358327865781
cell_00366	sample_04	cohort_gamma	2	13636.0	3361	6.270167204458786
cell_00367	sample_04	cohort_gamma	2	11227.0	3033	3.420325999821858
cell_00368	sample_04	cohort_gamma	2	16676.0	3196	6.704245622451427
cell_00369	sample_04	cohort_gamma	2	11901.0	2690	3.478699268968994
cell_00370	sample_04	cohort_gamma	3	4390.0	1456	0.43280182232346237
cell_00371	sample_04	cohort_gamma	2	5921.0	2053	5.894274615774362
cell_00372	sample_04	cohort_gamma	2	8657.0	2228	8.213006815293982
